"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","159","37,473","8,997","2,469"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","255","108,642","26,153","8,485"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","151","183,038","45,044","10,763"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","43","94,078","22,542","4,990"
"Alabama","722511","Full-service restaurants","S-corporations ","All establishments","2019","968","399,560","93,505","21,305"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","149","10,915","1,387","239"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","164","21,663","5,194","1,136"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","263","69,559","16,854","3,622"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","301","173,372","41,387","9,305"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","77","89,804","21,123","5,041"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","14","34,247","7,560","1,962"
"Alabama","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","464","78,949","19,110","5,230"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","213","7,231","1,297","362"
