"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","553","639,513","214,455","37,046"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","125","297,504","99,618","17,410"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","734","602,346","205,907","34,829"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","81","6,443","936","111"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","53","10,140","3,152","379"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","84","28,780","9,482","1,179"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","239","137,729","48,932","8,325"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","210","251,172","85,262","14,277"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","65","156,693","52,817","9,683"
"Arizona","722511","Full-service restaurants","S-corporations","All establishments","2020","1,746","713,193","214,134","36,865"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","288","19,618","3,149","605"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","315","44,196","12,486","2,220"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","464","127,086","37,594","6,533"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","527","304,958","91,192","15,985"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","128","161,594","52,054","8,523"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","24","55,741","17,659","2,999"
"Arizona","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","508","121,172","41,041","7,967"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","188","9,005","1,363","279"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","119","11,062","3,315","838"
